title,property_size,bedrooms,bathrooms,furnishing,Region,Region Name,Region_Parent_Name,is_boost,price
2bdrm Apartment in Life Camp for sale,250.0,2,2,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,False,75000000
Furnished 3bdrm Bungalow in Zone B for sale,600.0,3,4,Furnished,"Apo District, Zone B",Zone B,Apo District,enterprise,200000000
"1bdrm Bungalow in Ughoton, Warri for sale",232.0,1,1,Unfurnished,"Delta State, Warri",Warri,Delta State,vip_gold,40000000
3bdrm Block of Flats in Oshimili South for sale,1800.0,3,3,Semi Furnished,"Delta State, Oshimili South",Oshimili South,Delta State,False,350000000
4bdrm Duplex in Lekki for sale,200.0,4,5,Semi Furnished,"Lagos State, Lekki",Lekki,Lagos State,False,205000000
3bdrm Duplex in Ado / Ajah for sale,500.0,3,3,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,125000000
3bdrm Apartment in Ikate for sale,500.0,3,3,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,200000000
"5bdrm Mansion in Estate, Enugu for sale",750.0,5,7,Semi Furnished,"Enugu State, Enugu",Enugu,Enugu State,enterprise,250000000
3bdrm Duplex in Lekki Phase 1 for sale,500.0,3,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,300000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,650000000
4bdrm Duplex in Ogba Bus-Stop for sale,500.0,4,4,Semi Furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Lagos State,False,260000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,170000000
Furnished 4bdrm Duplex in Ikate for sale,500.0,4,4,Furnished,"Lekki, Ikate",Ikate,Lagos State,False,300000000
5bdrm Duplex in Anthony Village for sale,500.0,5,5,Semi Furnished,"Maryland, Anthony Village",Anthony Village,Lagos State,False,320000000
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,5,5,Semi Furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,False,550000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,230000000
4bdrm Duplex in Osapa london for sale,500.0,4,4,Semi Furnished,"Lekki, Osapa london",Osapa london,Lagos State,False,850000000
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,Semi Furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,False,230000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,300000000
Furnished 3bdrm Duplex in Lugbe District for sale,350.0,3,4,Furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),False,70000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi Furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,320000000
4bdrm Duplex in Papa Ajao / Surulere for sale,500.0,4,4,Semi Furnished,"Surulere, Papa Ajao / Surulere",Papa Ajao / Surulere,Lagos State,False,260000000
4bdrm Duplex in Ogba GRA for sale,500.0,4,4,Semi Furnished,"Ogba, Ogba GRA",Ogba GRA,Lagos State,False,230000000
4bdrm Duplex in Omole Phase 1 for sale,500.0,4,4,Semi Furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,False,550000000
6bdrm Duplex in Chevron for sale,500.0,6,6,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,False,720000000
Furnished 3bdrm Apartment in Ikeja GRA for sale,500.0,3,3,Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,False,680000000
3bdrm Penthouse in Lekki Phase 1 for sale,500.0,3,3,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,400000000
